"","MOATS","Date","pH","NewDate","Treatment","pHinSitu"
"115","12","28-Nov-16",7.641606871,2016-11-28,"High",7.85501736066445
"116","12","30-Nov-16",7.651939336,2016-11-30,"High",7.8660765137768
"117","12","30-Nov-16",7.651162198,2016-11-30,"High",7.86524533161138
"118","13","22-Nov-16",7.215123387,2016-11-22,"High",7.38941812339619
"119","13","24-Nov-16",7.635279112,2016-11-24,"High",7.84823586744137
"120","13","26-Nov-16",7.192536906,2016-11-26,"High",7.36490662549752
"121","13","26-Nov-16",7.176344969,2016-11-26,"High",7.34738416025634
"122","13","28-Nov-16",7.624127459,2016-11-28,"High",7.83626850314953
"123","13","30-Nov-16",7.608788855,2016-11-30,"High",7.81977452806565
"124","13","30-Nov-16",7.612355302,2016-11-30,"High",7.82361305260934
