"Plot Title: 06-28MAY19_20454092_DO_Logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)","Expired Sensor Cap (LGR S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
137,05/08/19 10:05:49 AM,11.39,9.98,11.39,99.9,,,,
138,05/08/19 10:15:49 AM,11.39,10.00,11.39,100.0,,,,
139,05/08/19 10:25:49 AM,11.39,10.00,11.39,100.0,,,,
140,05/08/19 10:35:49 AM,11.38,10.02,11.38,99.9,,,,
141,05/08/19 10:45:49 AM,11.38,10.02,11.38,99.9,,,,
142,05/08/19 10:55:49 AM,11.37,10.02,11.37,99.8,,,,
143,05/08/19 11:05:49 AM,11.37,10.02,11.37,99.8,,,,
144,05/08/19 11:15:49 AM,11.37,10.00,11.37,99.8,,,,
145,05/08/19 11:25:49 AM,11.37,10.00,11.37,99.8,,,,
146,05/08/19 11:35:49 AM,11.36,10.00,11.36,99.7,,,,
147,05/08/19 11:45:49 AM,11.36,10.00,11.36,99.7,,,,
148,05/08/19 11:55:49 AM,11.36,10.02,11.36,99.8,,,,
149,05/08/19 12:05:49 PM,11.36,10.04,11.36,99.8,,,,
150,05/08/19 12:15:49 PM,11.36,10.04,11.36,99.8,,,,
151,05/08/19 12:25:49 PM,11.37,10.06,11.37,99.9,,,,
152,05/08/19 12:35:49 PM,11.36,10.08,11.36,99.9,,,,
153,05/08/19 12:45:49 PM,11.34,10.10,11.34,99.8,,,,
154,05/08/19 12:55:49 PM,11.35,10.10,11.35,99.9,,,,
155,05/08/19 01:05:49 PM,11.35,10.12,11.35,99.9,,,,
156,05/08/19 01:15:49 PM,11.32,10.14,11.32,99.7,,,,
157,05/08/19 01:25:49 PM,11.32,10.16,11.32,99.7,,,,
158,05/08/19 01:35:49 PM,11.32,10.18,11.32,99.8,,,,
159,05/08/19 01:45:49 PM,11.32,10.20,11.32,99.8,,,,
160,05/08/19 01:55:49 PM,11.32,10.24,11.32,99.9,,,,
161,05/08/19 02:05:49 PM,11.31,10.24,11.31,99.8,,,,
162,05/08/19 02:15:49 PM,11.31,10.26,11.31,99.9,,,,
163,05/08/19 02:25:49 PM,11.31,10.28,11.31,99.9,,,,
164,05/08/19 02:35:49 PM,11.31,10.30,11.31,100.0,,,,
165,05/08/19 02:45:49 PM,11.31,10.32,11.31,100.0,,,,
166,05/08/19 02:55:49 PM,11.30,10.34,11.30,100.0,,,,
167,05/08/19 03:05:49 PM,11.31,10.34,11.31,100.1,,,,
168,05/08/19 03:15:49 PM,11.30,10.36,11.30,100.0,,,,
169,05/08/19 03:25:49 PM,11.30,10.38,11.30,100.1,,,,
170,05/08/19 03:35:49 PM,11.30,10.40,11.30,100.1,,,,
171,05/08/19 03:45:49 PM,11.30,10.40,11.30,100.1,,,,
172,05/08/19 03:55:49 PM,11.30,10.42,11.30,100.2,,,,
173,05/08/19 04:05:49 PM,11.29,10.42,11.29,100.1,,,,
174,05/08/19 04:15:49 PM,11.28,10.42,11.28,100.0,,,,
175,05/08/19 04:25:49 PM,11.29,10.40,11.29,100.0,,,,
176,05/08/19 04:35:49 PM,11.27,10.38,11.27,99.8,,,,
177,05/08/19 04:45:49 PM,11.29,10.36,11.29,99.9,,,,
178,05/08/19 04:55:49 PM,11.29,10.36,11.29,99.9,,,,
179,05/08/19 05:05:49 PM,11.28,10.34,11.28,99.8,,,,
180,05/08/19 05:15:49 PM,11.28,10.34,11.28,99.8,,,,
181,05/08/19 05:25:49 PM,11.29,10.34,11.29,99.9,,,,
182,05/08/19 05:35:49 PM,11.28,10.34,11.28,99.8,,,,
183,05/08/19 05:45:49 PM,11.29,10.36,11.29,99.9,,,,
184,05/08/19 05:55:49 PM,11.28,10.36,11.28,99.9,,,,
185,05/08/19 06:05:49 PM,11.29,10.36,11.29,99.9,,,,
186,05/08/19 06:15:49 PM,11.28,10.34,11.28,99.8,,,,
187,05/08/19 06:25:49 PM,11.29,10.34,11.29,99.9,,,,
188,05/08/19 06:35:49 PM,11.28,10.32,11.28,99.8,,,,
189,05/08/19 06:45:49 PM,11.28,10.32,11.28,99.8,,,,
190,05/08/19 06:55:49 PM,11.28,10.32,11.28,99.8,,,,
191,05/08/19 07:05:49 PM,11.30,10.30,11.30,99.9,,,,
192,05/08/19 07:15:49 PM,11.30,10.28,11.30,99.8,,,,
193,05/08/19 07:25:49 PM,11.30,10.26,11.30,99.8,,,,
194,05/08/19 07:35:49 PM,11.31,10.24,11.31,99.8,,,,
195,05/08/19 07:45:49 PM,11.29,10.24,11.29,99.7,,,,
196,05/08/19 07:55:49 PM,11.30,10.22,11.30,99.7,,,,
197,05/08/19 08:05:49 PM,11.30,10.22,11.30,99.7,,,,
198,05/08/19 08:15:49 PM,11.30,10.20,11.30,99.7,,,,
199,05/08/19 08:25:49 PM,11.31,10.18,11.31,99.7,,,,
200,05/08/19 08:35:49 PM,11.31,10.16,11.31,99.6,,,,
201,05/08/19 08:45:49 PM,11.31,10.14,11.31,99.6,,,,
202,05/08/19 08:55:49 PM,11.30,10.12,11.30,99.5,,,,
203,05/08/19 09:05:49 PM,11.31,10.10,11.31,99.5,,,,
204,05/08/19 09:15:49 PM,11.33,10.10,11.33,99.7,,,,
205,05/08/19 09:25:49 PM,11.31,10.10,11.31,99.5,,,,
206,05/08/19 09:35:49 PM,11.33,10.10,11.33,99.7,,,,
207,05/08/19 09:45:49 PM,11.33,10.12,11.33,99.7,,,,
208,05/08/19 09:55:49 PM,11.31,10.12,11.31,99.6,,,,
209,05/08/19 10:05:49 PM,11.31,10.12,11.31,99.6,,,,
210,05/08/19 10:15:49 PM,11.32,10.12,11.32,99.6,,,,
211,05/08/19 10:25:49 PM,11.33,10.12,11.33,99.7,,,,
212,05/08/19 10:35:49 PM,11.32,10.12,11.32,99.6,,,,
213,05/08/19 10:45:49 PM,11.32,10.12,11.32,99.6,,,,
214,05/08/19 10:55:49 PM,11.32,10.12,11.32,99.6,,,,
215,05/08/19 11:05:49 PM,11.30,10.10,11.30,99.4,,,,
216,05/08/19 11:15:49 PM,11.31,10.08,11.31,99.5,,,,
217,05/08/19 11:25:49 PM,11.31,10.08,11.31,99.5,,,,
218,05/08/19 11:35:49 PM,11.31,10.06,11.31,99.4,,,,
219,05/08/19 11:45:49 PM,11.30,10.04,11.30,99.3,,,,
220,05/08/19 11:55:49 PM,11.31,10.00,11.31,99.3,,,,
221,05/09/19 12:05:49 AM,11.32,9.98,11.32,99.3,,,,
222,05/09/19 12:15:49 AM,11.31,9.96,11.31,99.2,,,,
223,05/09/19 12:25:49 AM,11.32,9.94,11.32,99.2,,,,
224,05/09/19 12:35:49 AM,11.33,9.92,11.33,99.3,,,,
225,05/09/19 12:45:49 AM,11.33,9.92,11.33,99.3,,,,
226,05/09/19 12:55:49 AM,11.33,9.90,11.33,99.2,,,,
227,05/09/19 01:05:49 AM,11.34,9.88,11.34,99.3,,,,
228,05/09/19 01:15:49 AM,11.34,9.88,11.34,99.3,,,,
229,05/09/19 01:25:49 AM,11.32,9.86,11.32,99.0,,,,
230,05/09/19 01:35:49 AM,11.31,9.86,11.31,98.9,,,,
231,05/09/19 01:45:49 AM,11.35,9.84,11.35,99.2,,,,
232,05/09/19 01:55:49 AM,11.33,9.82,11.33,99.0,,,,
233,05/09/19 02:05:49 AM,11.34,9.82,11.34,99.1,,,,
234,05/09/19 02:15:49 AM,11.35,9.80,11.35,99.2,,,,
235,05/09/19 02:25:49 AM,11.34,9.80,11.34,99.1,,,,
236,05/09/19 02:35:49 AM,11.33,9.80,11.33,99.0,,,,
237,05/09/19 02:45:49 AM,11.33,9.80,11.33,99.0,,,,
238,05/09/19 02:55:49 AM,11.34,9.80,11.34,99.1,,,,
239,05/09/19 03:05:49 AM,11.33,9.80,11.33,99.0,,,,
240,05/09/19 03:15:49 AM,11.35,9.82,11.35,99.2,,,,
241,05/09/19 03:25:49 AM,11.34,9.86,11.34,99.2,,,,
242,05/09/19 03:35:49 AM,11.37,9.88,11.37,99.5,,,,
243,05/09/19 03:45:49 AM,11.36,9.90,11.36,99.5,,,,
244,05/09/19 03:55:49 AM,11.35,9.92,11.35,99.4,,,,
245,05/09/19 04:05:49 AM,11.35,9.92,11.35,99.4,,,,
246,05/09/19 04:15:49 AM,11.35,9.94,11.35,99.5,,,,
247,05/09/19 04:25:49 AM,11.34,9.94,11.34,99.4,,,,
248,05/09/19 04:35:49 AM,11.34,9.94,11.34,99.4,,,,
249,05/09/19 04:45:49 AM,11.35,9.92,11.35,99.4,,,,
250,05/09/19 04:55:49 AM,11.34,9.92,11.34,99.3,,,,
251,05/09/19 05:05:49 AM,11.34,9.90,11.34,99.3,,,,
252,05/09/19 05:15:49 AM,11.34,9.90,11.34,99.3,,,,
253,05/09/19 05:25:49 AM,11.33,9.88,11.33,99.2,,,,
254,05/09/19 05:35:49 AM,11.34,9.88,11.34,99.3,,,,
255,05/09/19 05:45:49 AM,11.34,9.86,11.34,99.2,,,,
256,05/09/19 05:55:49 AM,11.34,9.84,11.34,99.2,,,,
257,05/09/19 06:05:49 AM,11.34,9.84,11.34,99.2,,,,
258,05/09/19 06:15:49 AM,11.36,9.84,11.36,99.3,,,,
