experiment,,,,,,,,,,,,,,,,,,,,,
unit,,,,,,,,,,,,,,,,,,,,,
unit_number,,,,,,,,,,,,,,,,,,,,,
id_1,,,,,,,,,,,,,,,,,,,,,
id_2,,,,,,,,,,,,,,,,,,,,,
id_3,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,
salinity,,,,,,,,,,,,,,,,,,,,,
pHat25,,,,,,,,,,,,,,,,,,,,,
fileName,,,,,,,,,,,,,,,,,,,,,
unit_ID,,,,,,,,,,,,,,,,,,,,,
alk,,,,,,,,,,,,,,,,,,,,,
insituTemp,,,,,,,,,,,,,,,,,,,,,
pH,,,,,,,,,,,,,,,,,,,,,
dateString,,,,,,,,,,,,,,,,,,,,,
treatName,,,,,,,,,,,,,,,,,,,,,
treatpH,,,,,,,,,,,,,,,,,,,,,
treatTemp,,,,,,,,,,,,,,,,,,,,,
treatOther,,,,,,,,,,,,,,,,,,,,,
dic,,,,,,,,,,,,,,,,,,,,,
tankTemp,,,,,,,,,,,,,,,,,,,,,
###,,,,,,,,,,,,,,,,,,,,,
experiment,unit,unit_number,id_1,id_2,id_3,time,date,salinity,pHat25,fileName,unit_ID,alk,insituTemp,pH,dateString,treatName,treatpH,treatTemp,treatOther,dic,tankTemp
Juvenile,Tank,2,NA,NA,NA,0.458333333,8/10/19,28.8,7.549664967,2021.02.11_masterSPEC_salmonshed_chumhouse.xlsx,Tank_2,1972.442,NA,NA,8/10/19,NA,NA,NA,NA,1923.038113,NA
Juvenile,Tank,3,NA,NA,NA,0.458333333,8/10/19,28.8,7.549090376,2021.02.11_masterSPEC_salmonshed_chumhouse.xlsx,Tank_3,1972.442,NA,NA,8/10/19,NA,NA,NA,NA,1923.200522,NA
Juvenile,Tank,5,NA,NA,NA,0.458333333,8/10/19,28.8,7.563150294,2021.02.11_masterSPEC_salmonshed_chumhouse.xlsx,Tank_5,1972.442,NA,NA,8/10/19,NA,NA,NA,NA,1919.212126,NA
Juvenile,Tank,6,NA,NA,NA,0.458333333,8/10/19,28.8,7.569084489,2021.02.11_masterSPEC_salmonshed_chumhouse.xlsx,Tank_6,1972.442,NA,NA,8/10/19,NA,NA,NA,NA,1917.519378,NA
Juvenile,Tank,1,NA,NA,NA,0.458333333,8/10/19,28.8,7.591060622,2021.02.11_masterSPEC_salmonshed_chumhouse.xlsx,Tank_1,1972.442,NA,NA,8/10/19,NA,NA,NA,NA,1911.197457,NA
Juvenile,Tank,4,NA,NA,NA,0.458333333,8/10/19,28.8,7.601499656,2021.02.11_masterSPEC_salmonshed_chumhouse.xlsx,Tank_4,1972.442,NA,NA,8/10/19,NA,NA,NA,NA,1908.1628,NA
Juvenile,Tank,5,NA,NA,NA,0.458333333,8/29/18,29.99,7.471826626,2021.02.11_masterSPEC_salmonshed_chumhouse.xlsx,Tank_5,2032.35255,12.5,7.636655232,8/29/18,High pH,7.8,ambient,NA,2000.876126,12.5
Juvenile,Tank,2,NA,NA,NA,0.458333333,8/29/18,29.99,7.115592579,2021.02.11_masterSPEC_salmonshed_chumhouse.xlsx,Tank_2,2032.35255,12.5,7.252498061,8/29/18,Low pH,7.2,ambient,NA,2107.881039,12.5
