experiment,unit,unit_number,date,pH,temp
Juvenile,Tank,2,03/10/19,7.17,7.4
Juvenile,Tank,2,03/12/19,7.14,8
Juvenile,Tank,2,03/13/19,7.11,8
Juvenile,Tank,2,03/14/19,7.07,8.6
Juvenile,Tank,2,03/15/19,7.22,8.7
Juvenile,Tank,2,03/16/19,7.18,8.3
Juvenile,Tank,2,03/17/19,7.15,8.7
Juvenile,Tank,2,03/18/19,6.99,8.4
Juvenile,Tank,2,03/19/19,7.25,9.2
Juvenile,Tank,2,03/20/19,7.21,8.7
Juvenile,Tank,2,03/22/19,7.21,8.5
Juvenile,Tank,2,03/23/19,7.22,8.7
Juvenile,Tank,2,03/24/19,7.31,8.9
Juvenile,Tank,2,03/25/19,7.26,9
Juvenile,Tank,2,03/26/19,7.25,8.6
Juvenile,Tank,2,03/27/19,7.29,8.5
Juvenile,Tank,2,03/28/19,7.15,8.7
Juvenile,Tank,2,03/29/19,7.2,8.7
Juvenile,Tank,2,03/30/19,7.25,8.8
Juvenile,Tank,2,03/31/19,7.18,8.9
Juvenile,Tank,2,04/01/19,7.22,8.8
Juvenile,Tank,2,04/02/19,7.22,8.6
Juvenile,Tank,2,04/03/19,7.22,8.8
Juvenile,Tank,2,04/04/19,7.25,9.1
Juvenile,Tank,2,04/05/19,7.27,9.4
Juvenile,Tank,2,04/06/19,7.02,9.3
Juvenile,Tank,2,04/07/19,7.32,9.4
Juvenile,Tank,2,04/08/19,7.29,9
Juvenile,Tank,2,04/10/19,7.27,8.7
Juvenile,Tank,2,04/11/19,7.26,8.9
Juvenile,Tank,2,04/12/19,7.3,9.1
Juvenile,Tank,2,04/13/19,7.24,9
Juvenile,Tank,2,04/17/19,7.19,9.4
Juvenile,Tank,2,04/18/19,7.13,9.5
Juvenile,Tank,2,04/19/19,7.14,9.5
Juvenile,Tank,2,04/20/19,7.12,9.2
Juvenile,Tank,2,04/21/19,7.24,9.3
Juvenile,Tank,2,04/22/19,7.18,9.4
Juvenile,Tank,2,04/23/19,7.21,9.6
Juvenile,Tank,2,04/24/19,7.18,9.4
Juvenile,Tank,2,04/25/19,7.18,9.3
Juvenile,Tank,2,04/26/19,7.22,9.7
Juvenile,Tank,2,04/27/19,7.23,9.5
Juvenile,Tank,2,04/28/19,7.24,9.7
Juvenile,Tank,2,04/29/19,7.19,9.5
Juvenile,Tank,2,04/30/19,7.22,9.4
Juvenile,Tank,2,05/01/19,7.23,9.4
Juvenile,Tank,2,05/02/19,7.21,9.6
Juvenile,Tank,2,05/03/19,7.22,9.6
Juvenile,Tank,2,05/04/19,7.09,10.2
Juvenile,Tank,2,05/05/19,7.12,10.9
Juvenile,Tank,2,05/06/19,7.1,11.9
Juvenile,Tank,2,05/07/19,7.14,12.3
Juvenile,Tank,2,05/08/19,7.14,12.4
Juvenile,Tank,2,05/09/19,7.18,12.5
Juvenile,Tank,2,05/10/19,7.24,10.4
Juvenile,Tank,2,05/11/19,7.16,10.2
Juvenile,Tank,2,05/12/19,7.27,10
Juvenile,Tank,2,05/13/19,7.18,10.2
Juvenile,Tank,2,05/15/19,7.22,10.7
Juvenile,Tank,2,05/16/19,7.21,10.4
Juvenile,Tank,2,05/17/19,7.17,10.4
Juvenile,Tank,2,05/18/19,7.89,10.4
Juvenile,Tank,2,05/19/19,7.1,10.4
Juvenile,Tank,2,05/20/19,7.2,10.2
Juvenile,Tank,2,05/21/19,7.2,10.2
Juvenile,Tank,2,05/22/19,7.18,10.4
Juvenile,Tank,2,05/23/19,7.16,11.5
Juvenile,Tank,2,05/24/19,7.15,10.5
Juvenile,Tank,2,05/25/19,7.08,11.1
Juvenile,Tank,2,05/26/19,7.05,11.4
Juvenile,Tank,2,05/27/19,7.11,12.2
Juvenile,Tank,2,05/28/19,7.16,13.3
Juvenile,Tank,2,05/29/19,7.21,11.1
Juvenile,Tank,2,05/30/19,7.2,11.1
Juvenile,Tank,2,05/31/19,7.21,10.7
Juvenile,Tank,2,06/01/19,7.36,10.7
Juvenile,Tank,2,06/02/19,7.36,10.8
Juvenile,Tank,2,06/03/19,7.25,10.7
Juvenile,Tank,2,06/04/19,7.23,10.7
Juvenile,Tank,2,06/05/19,7.24,10.7
Juvenile,Tank,2,06/06/19,7.24,10.9
Juvenile,Tank,2,06/07/19,7.24,10.9
Juvenile,Tank,2,06/08/19,7.22,11
Juvenile,Tank,2,06/09/19,7.21,11.2
Juvenile,Tank,2,06/10/19,7.23,11.1
Juvenile,Tank,2,06/11/19,7.2,11.3
Juvenile,Tank,2,06/12/19,7.21,11.2
Juvenile,Tank,2,06/13/19,7.19,11.3
Juvenile,Tank,2,06/14/19,7.22,11.3
Juvenile,Tank,2,06/16/19,7.21,11.6
Juvenile,Tank,2,06/17/19,7.19,11.6
Juvenile,Tank,2,06/18/19,7.2,11.4
Juvenile,Tank,2,06/19/19,7.18,11.7
Juvenile,Tank,2,06/20/19,7.19,11.7
Juvenile,Tank,2,06/21/19,7.2,11.5
Juvenile,Tank,2,06/22/19,7.23,11.8
Juvenile,Tank,2,06/23/19,7.21,11.7
Juvenile,Tank,2,06/24/19,7.2,11.5
Juvenile,Tank,2,06/25/19,7.23,11.8
Juvenile,Tank,2,07/01/19,7.22,11.9
Juvenile,Tank,2,07/02/19,7.21,11.6
Juvenile,Tank,2,07/03/19,7.23,11.5
Juvenile,Tank,2,07/06/19,7.25,12
Juvenile,Tank,2,07/07/19,7.19,12.2
Juvenile,Tank,2,07/08/19,8.02,11.8
Juvenile,Tank,2,07/09/19,7.23,12
Juvenile,Tank,2,07/10/19,7.21,12.5
Juvenile,Tank,2,07/11/19,7.23,12.2
