"","pH","ObservationDate","treatment","location","sensortype"
"697",7.21,2019-04-30,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"698",7.21,2019-05-02,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"699",7.21,2019-05-16,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"700",7.21,2019-05-24,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"701",7.21,2019-05-29,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"702",7.21,2019-05-29,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"703",7.21,2019-05-31,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"704",7.21,2019-06-06,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"705",7.21,2019-06-09,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"706",7.21,2019-06-11,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"707",7.21,2019-06-12,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"708",7.21,2019-06-13,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"709",7.21,2019-06-16,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"710",7.21,2019-06-23,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"711",7.21,2019-06-23,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"712",7.21,2019-06-24,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"713",7.21,2019-06-25,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"714",7.21,2019-07-02,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"715",7.21,2019-07-09,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"716",7.21,2019-07-10,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"717",7.211606578,2018-10-02,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"718",7.211606578,2018-10-02,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"719",7.211963092,2018-11-21,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"720",7.212039166,2018-11-14,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"721",7.21422985,2019-05-01,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"722",7.215878187,2019-05-29,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"723",7.218636616,2018-12-12,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"724",7.219719602,2018-12-12,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"725",7.22,2018-08-28,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"726",7.22,2018-08-29,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"727",7.22,2018-09-04,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"728",7.22,2018-09-04,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"729",7.22,2018-09-10,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"730",7.22,2018-09-11,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"731",7.22,2018-09-12,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"732",7.22,2018-09-12,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"733",7.22,2018-09-19,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"734",7.22,2018-09-21,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"735",7.22,2018-09-23,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"736",7.22,2018-09-24,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"737",7.22,2018-09-26,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"738",7.22,2018-09-26,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"739",7.22,2018-09-27,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"740",7.22,2018-10-02,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"741",7.22,2018-10-11,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"742",7.22,2018-10-12,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"743",7.22,2018-10-13,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"744",7.22,2018-10-26,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"745",7.22,2018-10-27,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"746",7.22,2018-10-28,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"747",7.22,2018-10-31,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"748",7.22,2018-11-03,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"749",7.22,2018-11-09,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"750",7.22,2018-11-12,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"751",7.22,2018-11-16,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"752",7.22,2018-11-22,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"753",7.22,2018-11-22,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"754",7.22,2018-11-26,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"755",7.22,2018-11-27,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"756",7.22,2018-11-28,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"757",7.22,2018-11-28,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"758",7.22,2018-11-29,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"759",7.22,2018-12-05,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"760",7.22,2018-12-23,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"761",7.22,2018-12-24,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"762",7.22,2018-12-26,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"763",7.22,2018-12-26,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"764",7.22,2018-12-29,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"765",7.22,2019-01-03,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"766",7.22,2019-01-04,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"767",7.22,2019-01-05,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"768",7.22,2019-01-05,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"769",7.22,2019-01-06,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"770",7.22,2019-01-07,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"771",7.22,2019-01-08,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"772",7.22,2019-01-09,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"773",7.22,2019-01-09,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"774",7.22,2019-01-09,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"775",7.22,2019-01-10,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"776",7.22,2019-01-11,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"777",7.22,2019-01-12,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"778",7.22,2019-01-14,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"779",7.22,2019-01-15,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"780",7.22,2019-01-16,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"781",7.22,2019-01-16,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"782",7.22,2019-01-17,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"783",7.22,2019-01-21,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"784",7.22,2019-01-22,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"785",7.22,2019-01-23,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"786",7.22,2019-01-26,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"787",7.22,2019-01-27,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"788",7.22,2019-01-27,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"789",7.22,2019-01-29,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"790",7.22,2019-01-30,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"791",7.22,2019-01-30,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"792",7.22,2019-01-31,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"793",7.22,2019-02-01,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"794",7.22,2019-02-05,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"795",7.22,2019-02-05,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"796",7.22,2019-02-06,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"797",7.22,2019-02-06,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"798",7.22,2019-02-08,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"799",7.22,2019-02-11,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
