"Plot Title: 20454092_DO_logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Coupler Detached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
121,04/03/19 06:15:49 AM,11.50,8.76,0.00,0.0,,,,
122,04/03/19 06:25:49 AM,11.49,8.76,0.00,0.0,,,,
123,04/03/19 06:35:49 AM,11.50,8.76,0.00,0.0,,,,
124,04/03/19 06:45:49 AM,11.49,8.76,0.00,0.0,,,,
125,04/03/19 06:55:49 AM,11.50,8.76,0.00,0.0,,,,
126,04/03/19 07:05:49 AM,11.50,8.76,0.00,0.0,,,,
127,04/03/19 07:15:49 AM,11.50,8.78,0.00,0.0,,,,
128,04/03/19 07:25:49 AM,11.48,8.78,0.00,0.0,,,,
129,04/03/19 07:35:49 AM,11.49,8.78,0.00,0.0,,,,
130,04/03/19 07:45:49 AM,11.50,8.78,0.00,0.0,,,,
131,04/03/19 07:55:49 AM,11.49,8.80,0.00,0.0,,,,
132,04/03/19 08:05:49 AM,11.49,8.80,0.00,0.0,,,,
133,04/03/19 08:15:49 AM,11.50,8.80,0.00,0.0,,,,
134,04/03/19 08:25:49 AM,11.49,8.80,0.00,0.0,,,,
135,04/03/19 08:35:49 AM,11.49,8.82,0.00,0.0,,,,
136,04/03/19 08:45:49 AM,11.49,8.82,0.00,0.0,,,,
137,04/03/19 08:55:49 AM,11.49,8.82,0.00,0.0,,,,
138,04/03/19 09:05:49 AM,11.48,8.82,0.00,0.0,,,,
139,04/03/19 09:15:49 AM,11.50,8.82,0.00,0.0,,,,
140,04/03/19 09:25:49 AM,11.49,8.84,0.00,0.0,,,,
141,04/03/19 09:35:49 AM,11.48,8.86,0.00,0.0,,,,
142,04/03/19 09:45:49 AM,11.50,8.88,0.00,0.0,,,,
143,04/03/19 09:55:49 AM,11.49,8.90,0.00,0.0,,,,
144,04/03/19 10:05:49 AM,11.49,8.92,0.00,0.0,,,,
145,04/03/19 10:15:49 AM,11.49,8.94,0.00,0.0,,,,
146,04/03/19 10:25:49 AM,11.49,8.96,0.00,0.0,,,,
147,04/03/19 10:35:49 AM,11.49,8.96,0.00,0.0,,,,
148,04/03/19 10:45:49 AM,11.48,8.98,0.00,0.0,,,,
149,04/03/19 10:55:49 AM,11.50,9.00,0.00,0.0,,,,
150,04/03/19 11:05:49 AM,11.48,9.00,0.00,0.0,,,,
151,04/03/19 11:15:49 AM,11.48,9.02,0.00,0.0,,,,
152,04/03/19 11:25:49 AM,11.48,9.02,0.00,0.0,,,,
153,04/03/19 11:35:49 AM,11.48,9.02,0.00,0.0,,,,
154,04/03/19 11:45:49 AM,11.48,9.02,0.00,0.0,,,,
155,04/03/19 11:55:49 AM,11.48,9.02,0.00,0.0,,,,
156,04/03/19 12:05:49 PM,11.48,9.02,0.00,0.0,,,,
157,04/03/19 12:15:49 PM,11.48,9.04,0.00,0.0,,,,
158,04/03/19 12:25:49 PM,11.47,9.04,0.00,0.0,,,,
159,04/03/19 12:35:49 PM,11.48,9.06,0.00,0.0,,,,
160,04/03/19 12:45:49 PM,11.48,9.06,0.00,0.0,,,,
161,04/03/19 12:55:49 PM,11.47,9.06,0.00,0.0,,,,
162,04/03/19 01:05:49 PM,11.47,9.08,0.00,0.0,,,,
163,04/03/19 01:15:49 PM,11.47,9.08,0.00,0.0,,,,
164,04/03/19 01:25:49 PM,11.48,9.08,0.00,0.0,,,,
165,04/03/19 01:35:49 PM,11.48,9.08,0.00,0.0,,,,
166,04/03/19 01:45:49 PM,11.49,9.08,0.00,0.0,,,,
167,04/03/19 01:55:49 PM,11.49,9.06,0.00,0.0,,,,
168,04/03/19 02:05:49 PM,11.50,9.06,0.00,0.0,,,,
169,04/03/19 02:15:49 PM,11.50,9.06,0.00,0.0,,,,
170,04/03/19 02:25:49 PM,11.51,9.06,0.00,0.0,,,,
171,04/03/19 02:35:49 PM,11.51,9.06,0.00,0.0,,,,
172,04/03/19 02:45:49 PM,11.52,9.04,0.00,0.0,,,,
173,04/03/19 02:55:49 PM,11.51,9.04,0.00,0.0,,,,
174,04/03/19 03:05:49 PM,11.52,9.04,0.00,0.0,,,,
175,04/03/19 03:15:49 PM,11.51,9.02,0.00,0.0,,,,
176,04/03/19 03:25:49 PM,11.51,9.00,0.00,0.0,,,,
177,04/03/19 03:35:49 PM,11.52,9.00,0.00,0.0,,,,
178,04/03/19 03:45:49 PM,11.52,8.98,0.00,0.0,,,,
179,04/03/19 03:55:49 PM,11.53,8.96,0.00,0.0,,,,
180,04/03/19 04:05:49 PM,11.53,8.96,0.00,0.0,,,,
181,04/03/19 04:15:49 PM,11.54,8.96,0.00,0.0,,,,
182,04/03/19 04:25:49 PM,11.54,8.94,0.00,0.0,,,,
183,04/03/19 04:35:49 PM,11.53,8.94,0.00,0.0,,,,
184,04/03/19 04:45:49 PM,11.55,8.94,0.00,0.0,,,,
185,04/03/19 04:55:49 PM,11.55,8.96,0.00,0.0,,,,
186,04/03/19 05:05:49 PM,11.54,8.96,0.00,0.0,,,,
187,04/03/19 05:15:49 PM,11.55,8.96,0.00,0.0,,,,
188,04/03/19 05:25:49 PM,11.54,8.98,0.00,0.0,,,,
189,04/03/19 05:35:49 PM,11.54,8.98,0.00,0.0,,,,
190,04/03/19 05:45:49 PM,11.54,8.98,0.00,0.0,,,,
191,04/03/19 05:55:49 PM,11.54,8.98,0.00,0.0,,,,
192,04/03/19 06:05:49 PM,11.54,8.98,0.00,0.0,,,,
193,04/03/19 06:15:49 PM,11.54,8.98,0.00,0.0,,,,
194,04/03/19 06:25:49 PM,11.54,8.98,0.00,0.0,,,,
