"","temp","ObservationDate","location","sensortype"
"233",8.9,2019-03-19,"salmonShed","wallUDA_salmonShed"
"234",8.9,2019-03-24,"salmonShed","wallUDA_salmonShed"
"235",8.9,2019-03-24,"salmonShed","wallUDA_salmonShed"
"236",8.9,2019-03-31,"salmonShed","wallUDA_salmonShed"
"237",8.9,2019-04-08,"salmonShed","wallUDA_salmonShed"
"238",8.9,2019-04-08,"salmonShed","wallUDA_salmonShed"
"239",8.9,2019-04-11,"salmonShed","wallUDA_salmonShed"
"240",8.9,2019-04-11,"salmonShed","wallUDA_salmonShed"
"241",8.9,2019-04-11,"salmonShed","wallUDA_salmonShed"
"242",8.9,2019-04-12,"salmonShed","wallUDA_salmonShed"
"243",8.9,2019-04-13,"salmonShed","wallUDA_salmonShed"
"244",8.9,2019-04-13,"salmonShed","wallUDA_salmonShed"
"245",8.9,2019-04-13,"salmonShed","wallUDA_salmonShed"
"246",9,2019-01-15,"salmonShed","wallUDA_salmonShed"
"247",9,2019-01-15,"salmonShed","wallUDA_salmonShed"
"248",9,2019-01-16,"salmonShed","wallUDA_salmonShed"
"249",9,2019-01-16,"salmonShed","wallUDA_salmonShed"
"250",9,2019-01-20,"salmonShed","wallUDA_salmonShed"
"251",9,2019-01-27,"salmonShed","wallUDA_salmonShed"
"252",9,2019-01-28,"salmonShed","wallUDA_salmonShed"
"253",9,2019-01-28,"salmonShed","wallUDA_salmonShed"
"254",9,2019-01-29,"salmonShed","wallUDA_salmonShed"
"255",9,2019-01-30,"salmonShed","wallUDA_salmonShed"
"256",9,2019-01-30,"salmonShed","wallUDA_salmonShed"
"257",9,2019-02-03,"salmonShed","wallUDA_salmonShed"
"258",9,2019-03-25,"salmonShed","wallUDA_salmonShed"
"259",9,2019-03-25,"salmonShed","wallUDA_salmonShed"
"260",9,2019-03-25,"salmonShed","wallUDA_salmonShed"
"261",9,2019-03-25,"salmonShed","wallUDA_salmonShed"
"262",9,2019-04-04,"salmonShed","wallUDA_salmonShed"
"263",9,2019-04-08,"salmonShed","wallUDA_salmonShed"
"264",9,2019-04-08,"salmonShed","wallUDA_salmonShed"
"265",9,2019-04-12,"salmonShed","wallUDA_salmonShed"
"266",9,2019-04-13,"salmonShed","wallUDA_salmonShed"
"267",9.1,2018-12-30,"salmonShed","wallUDA_salmonShed"
"268",9.1,2019-01-07,"salmonShed","wallUDA_salmonShed"
"269",9.1,2019-01-07,"salmonShed","wallUDA_salmonShed"
"270",9.1,2019-01-13,"salmonShed","wallUDA_salmonShed"
"271",9.1,2019-01-14,"salmonShed","wallUDA_salmonShed"
"272",9.1,2019-01-17,"salmonShed","wallUDA_salmonShed"
"273",9.1,2019-01-17,"salmonShed","wallUDA_salmonShed"
"274",9.1,2019-01-17,"salmonShed","wallUDA_salmonShed"
"275",9.1,2019-01-19,"salmonShed","wallUDA_salmonShed"
"276",9.1,2019-01-19,"salmonShed","wallUDA_salmonShed"
"277",9.1,2019-01-20,"salmonShed","wallUDA_salmonShed"
"278",9.1,2019-01-24,"salmonShed","wallUDA_salmonShed"
"279",9.1,2019-01-25,"salmonShed","wallUDA_salmonShed"
"280",9.1,2019-01-26,"salmonShed","wallUDA_salmonShed"
"281",9.1,2019-01-26,"salmonShed","wallUDA_salmonShed"
"282",9.1,2019-01-27,"salmonShed","wallUDA_salmonShed"
"283",9.1,2019-01-27,"salmonShed","wallUDA_salmonShed"
"284",9.1,2019-01-27,"salmonShed","wallUDA_salmonShed"
"285",9.1,2019-01-28,"salmonShed","wallUDA_salmonShed"
"286",9.1,2019-01-28,"salmonShed","wallUDA_salmonShed"
"287",9.1,2019-01-29,"salmonShed","wallUDA_salmonShed"
"288",9.1,2019-01-30,"salmonShed","wallUDA_salmonShed"
"289",9.1,2019-01-30,"salmonShed","wallUDA_salmonShed"
"290",9.1,2019-04-04,"salmonShed","wallUDA_salmonShed"
"291",9.1,2019-04-04,"salmonShed","wallUDA_salmonShed"
"292",9.1,2019-04-04,"salmonShed","wallUDA_salmonShed"
"293",9.1,2019-04-12,"salmonShed","wallUDA_salmonShed"
"294",9.1,2019-04-12,"salmonShed","wallUDA_salmonShed"
"295",9.1,2019-04-20,"salmonShed","wallUDA_salmonShed"
"296",9.2,2018-12-28,"salmonShed","wallUDA_salmonShed"
"297",9.2,2018-12-31,"salmonShed","wallUDA_salmonShed"
"298",9.2,2019-01-03,"salmonShed","wallUDA_salmonShed"
"299",9.2,2019-01-07,"salmonShed","wallUDA_salmonShed"
"300",9.2,2019-01-08,"salmonShed","wallUDA_salmonShed"
"301",9.2,2019-01-08,"salmonShed","wallUDA_salmonShed"
"302",9.2,2019-01-13,"salmonShed","wallUDA_salmonShed"
"303",9.2,2019-01-13,"salmonShed","wallUDA_salmonShed"
"304",9.2,2019-01-14,"salmonShed","wallUDA_salmonShed"
"305",9.2,2019-01-14,"salmonShed","wallUDA_salmonShed"
"306",9.2,2019-01-14,"salmonShed","wallUDA_salmonShed"
"307",9.2,2019-01-17,"salmonShed","wallUDA_salmonShed"
"308",9.2,2019-01-18,"salmonShed","wallUDA_salmonShed"
"309",9.2,2019-01-19,"salmonShed","wallUDA_salmonShed"
"310",9.2,2019-01-19,"salmonShed","wallUDA_salmonShed"
"311",9.2,2019-01-20,"salmonShed","wallUDA_salmonShed"
"312",9.2,2019-01-20,"salmonShed","wallUDA_salmonShed"
"313",9.2,2019-01-23,"salmonShed","wallUDA_salmonShed"
"314",9.2,2019-01-24,"salmonShed","wallUDA_salmonShed"
"315",9.2,2019-01-24,"salmonShed","wallUDA_salmonShed"
"316",9.2,2019-01-24,"salmonShed","wallUDA_salmonShed"
"317",9.2,2019-01-25,"salmonShed","wallUDA_salmonShed"
"318",9.2,2019-01-26,"salmonShed","wallUDA_salmonShed"
"319",9.2,2019-01-26,"salmonShed","wallUDA_salmonShed"
"320",9.2,2019-01-29,"salmonShed","wallUDA_salmonShed"
"321",9.2,2019-01-29,"salmonShed","wallUDA_salmonShed"
"322",9.2,2019-01-31,"salmonShed","wallUDA_salmonShed"
"323",9.2,2019-02-01,"salmonShed","wallUDA_salmonShed"
"324",9.2,2019-03-19,"salmonShed","wallUDA_salmonShed"
"325",9.2,2019-04-07,"salmonShed","wallUDA_salmonShed"
"326",9.2,2019-04-20,"salmonShed","wallUDA_salmonShed"
"327",9.2,2019-04-20,"salmonShed","wallUDA_salmonShed"
"328",9.2,2019-04-21,"salmonShed","wallUDA_salmonShed"
"329",9.2,2019-04-21,"salmonShed","wallUDA_salmonShed"
"330",9.2,2019-04-25,"salmonShed","wallUDA_salmonShed"
"331",9.2,2019-05-01,"salmonShed","wallUDA_salmonShed"
"332",9.3,2018-12-31,"salmonShed","wallUDA_salmonShed"
"333",9.3,2018-12-31,"salmonShed","wallUDA_salmonShed"
"334",9.3,2019-01-03,"salmonShed","wallUDA_salmonShed"
"335",9.3,2019-01-03,"salmonShed","wallUDA_salmonShed"
"336",9.3,2019-01-04,"salmonShed","wallUDA_salmonShed"
"337",9.3,2019-01-05,"salmonShed","wallUDA_salmonShed"
"338",9.3,2019-01-05,"salmonShed","wallUDA_salmonShed"
"339",9.3,2019-01-06,"salmonShed","wallUDA_salmonShed"
"340",9.3,2019-01-07,"salmonShed","wallUDA_salmonShed"
"341",9.3,2019-01-08,"salmonShed","wallUDA_salmonShed"
"342",9.3,2019-01-08,"salmonShed","wallUDA_salmonShed"
"343",9.3,2019-01-11,"salmonShed","wallUDA_salmonShed"
"344",9.3,2019-01-11,"salmonShed","wallUDA_salmonShed"
"345",9.3,2019-01-12,"salmonShed","wallUDA_salmonShed"
"346",9.3,2019-01-12,"salmonShed","wallUDA_salmonShed"
"347",9.3,2019-01-13,"salmonShed","wallUDA_salmonShed"
"348",9.3,2019-01-18,"salmonShed","wallUDA_salmonShed"
"349",9.3,2019-01-18,"salmonShed","wallUDA_salmonShed"
"350",9.3,2019-01-18,"salmonShed","wallUDA_salmonShed"
"351",9.3,2019-01-21,"salmonShed","wallUDA_salmonShed"
"352",9.3,2019-01-21,"salmonShed","wallUDA_salmonShed"
"353",9.3,2019-01-21,"salmonShed","wallUDA_salmonShed"
"354",9.3,2019-01-22,"salmonShed","wallUDA_salmonShed"
"355",9.3,2019-01-22,"salmonShed","wallUDA_salmonShed"
"356",9.3,2019-01-22,"salmonShed","wallUDA_salmonShed"
"357",9.3,2019-01-23,"salmonShed","wallUDA_salmonShed"
"358",9.3,2019-01-23,"salmonShed","wallUDA_salmonShed"
"359",9.3,2019-01-23,"salmonShed","wallUDA_salmonShed"
"360",9.3,2019-01-25,"salmonShed","wallUDA_salmonShed"
"361",9.3,2019-01-25,"salmonShed","wallUDA_salmonShed"
"362",9.3,2019-01-31,"salmonShed","wallUDA_salmonShed"
"363",9.3,2019-01-31,"salmonShed","wallUDA_salmonShed"
"364",9.3,2019-01-31,"salmonShed","wallUDA_salmonShed"
"365",9.3,2019-02-01,"salmonShed","wallUDA_salmonShed"
"366",9.3,2019-02-01,"salmonShed","wallUDA_salmonShed"
"367",9.3,2019-04-05,"salmonShed","wallUDA_salmonShed"
"368",9.3,2019-04-06,"salmonShed","wallUDA_salmonShed"
"369",9.3,2019-04-06,"salmonShed","wallUDA_salmonShed"
"370",9.3,2019-04-06,"salmonShed","wallUDA_salmonShed"
"371",9.3,2019-04-07,"salmonShed","wallUDA_salmonShed"
"372",9.3,2019-04-07,"salmonShed","wallUDA_salmonShed"
"373",9.3,2019-04-17,"salmonShed","wallUDA_salmonShed"
"374",9.3,2019-04-21,"salmonShed","wallUDA_salmonShed"
"375",9.3,2019-04-22,"salmonShed","wallUDA_salmonShed"
"376",9.3,2019-04-22,"salmonShed","wallUDA_salmonShed"
"377",9.3,2019-04-22,"salmonShed","wallUDA_salmonShed"
"378",9.3,2019-04-24,"salmonShed","wallUDA_salmonShed"
"379",9.3,2019-04-24,"salmonShed","wallUDA_salmonShed"
"380",9.3,2019-04-25,"salmonShed","wallUDA_salmonShed"
"381",9.3,2019-04-25,"salmonShed","wallUDA_salmonShed"
"382",9.3,2019-04-25,"salmonShed","wallUDA_salmonShed"
"383",9.3,2019-05-01,"salmonShed","wallUDA_salmonShed"
"384",9.3,2019-05-01,"salmonShed","wallUDA_salmonShed"
"385",9.4,2018-12-30,"salmonShed","wallUDA_salmonShed"
"386",9.4,2018-12-30,"salmonShed","wallUDA_salmonShed"
"387",9.4,2019-01-02,"salmonShed","wallUDA_salmonShed"
"388",9.4,2019-01-03,"salmonShed","wallUDA_salmonShed"
"389",9.4,2019-01-04,"salmonShed","wallUDA_salmonShed"
"390",9.4,2019-01-04,"salmonShed","wallUDA_salmonShed"
"391",9.4,2019-01-04,"salmonShed","wallUDA_salmonShed"
"392",9.4,2019-01-05,"salmonShed","wallUDA_salmonShed"
"393",9.4,2019-01-05,"salmonShed","wallUDA_salmonShed"
"394",9.4,2019-01-06,"salmonShed","wallUDA_salmonShed"
"395",9.4,2019-01-06,"salmonShed","wallUDA_salmonShed"
"396",9.4,2019-01-09,"salmonShed","wallUDA_salmonShed"
"397",9.4,2019-01-11,"salmonShed","wallUDA_salmonShed"
"398",9.4,2019-01-12,"salmonShed","wallUDA_salmonShed"
"399",9.4,2019-01-21,"salmonShed","wallUDA_salmonShed"
"400",9.4,2019-01-22,"salmonShed","wallUDA_salmonShed"
"401",9.4,2019-02-01,"salmonShed","wallUDA_salmonShed"
"402",9.4,2019-04-05,"salmonShed","wallUDA_salmonShed"
"403",9.4,2019-04-05,"salmonShed","wallUDA_salmonShed"
"404",9.4,2019-04-05,"salmonShed","wallUDA_salmonShed"
"405",9.4,2019-04-07,"salmonShed","wallUDA_salmonShed"
"406",9.4,2019-04-17,"salmonShed","wallUDA_salmonShed"
"407",9.4,2019-04-17,"salmonShed","wallUDA_salmonShed"
"408",9.4,2019-04-17,"salmonShed","wallUDA_salmonShed"
"409",9.4,2019-04-19,"salmonShed","wallUDA_salmonShed"
"410",9.4,2019-04-21,"salmonShed","wallUDA_salmonShed"
"411",9.4,2019-04-22,"salmonShed","wallUDA_salmonShed"
"412",9.4,2019-04-23,"salmonShed","wallUDA_salmonShed"
