Date,Species,Tank,Water Temperature,Salinity,location,sensortype
7/10/19,Chum,N/A,12.2,30.21,salmonShed,HoneywellUDA
7/10/19,Chinook,3,12.5,30.13,chumHouse,HoneywellUDA
7/10/19,Chinook,4,12.4,30.18,chumHouse,HoneywellUDA
7/10/19,Chinook,5,12.4,30.19,chumHouse,HoneywellUDA
7/10/19,Chinook,6,12.4,30.18,chumHouse,HoneywellUDA
7/10/19,Chinook,7,12.4,30.18,chumHouse,HoneywellUDA
7/10/19,Chinook,8,12.4,30.16,chumHouse,HoneywellUDA
7/10/19,Pink,N/A,12.2,30.2,salmonShed,HoneywellUDA
7/12/19,Coho,28,12.5,30.16,salmonShed,HoneywellUDA
7/12/19,Coho,29,12.5,30.17,salmonShed,HoneywellUDA
7/12/19,Sable,N/A,12.5,30.22,salmonShed,HoneywellUDA
7/12/19,Pink,N/A,12.4,30.22,salmonShed,HoneywellUDA
7/12/19,Chum,N/A,12.4,30.21,salmonShed,HoneywellUDA
7/12/19,Chinook,3,12.7,30.12,chumHouse,HoneywellUDA
7/12/19,Chinook,4,12.6,30.17,chumHouse,HoneywellUDA
7/12/19,Chinook,5,12.6,30.19,chumHouse,HoneywellUDA
7/12/19,Chinook,6,12.5,30.17,chumHouse,HoneywellUDA
7/12/19,Chinook,7,12.5,30.17,chumHouse,HoneywellUDA
7/12/19,Chinook,8,12.6,30.22,chumHouse,HoneywellUDA
7/15/19,Coho,28,12.4,30.11,salmonShed,HoneywellUDA
7/15/19,Coho,29,12.2,30.24,salmonShed,HoneywellUDA
7/15/19,Sable,N/A,12.2,29.76,salmonShed,HoneywellUDA
7/15/19,Pink,N/A,12.2,30.24,salmonShed,HoneywellUDA
7/15/19,Chum,N/A,12.1,30.26,salmonShed,HoneywellUDA
7/15/19,Chinook,3,12.6,29.61,chumHouse,HoneywellUDA
7/15/19,Chinook,4,12.4,29.73,chumHouse,HoneywellUDA
7/15/19,Chinook,5,12.4,29.75,chumHouse,HoneywellUDA
7/15/19,Chinook,6,12.4,29.73,chumHouse,HoneywellUDA
7/15/19,Chinook,7,12.3,29.75,chumHouse,HoneywellUDA
7/15/19,Chinook,8,12.4,29.75,chumHouse,HoneywellUDA
7/17/19,Coho,28,12,29.82,salmonShed,HoneywellUDA
7/17/19,Coho,29,12,29.79,salmonShed,HoneywellUDA
7/17/19,Sable,N/A,12,29.84,salmonShed,HoneywellUDA
7/17/19,Pink,N/A,11.9,29.84,salmonShed,HoneywellUDA
7/17/19,Chum,N/A,11.9,29.85,salmonShed,HoneywellUDA
7/17/19,Chinook,3,12.2,29.74,chumHouse,HoneywellUDA
7/17/19,Chinook,4,12.1,29.8,chumHouse,HoneywellUDA
7/17/19,Chinook,5,12,29.81,chumHouse,HoneywellUDA
7/17/19,Chinook,6,12,29.82,chumHouse,HoneywellUDA
7/17/19,Chinook,7,12,29.79,chumHouse,HoneywellUDA
7/17/19,Chinook,8,12.1,29.81,chumHouse,HoneywellUDA
7/18/19,Coho,1,13,29.7,salmonShed,HoneywellUDA
7/18/19,Coho,2,12.9,29.74,salmonShed,HoneywellUDA
7/18/19,Coho,3,12.9,29.76,salmonShed,HoneywellUDA
7/18/19,Coho,4,N/A,N/A,salmonShed,HoneywellUDA
7/18/19,Coho,5,N/A,N/A,salmonShed,HoneywellUDA
7/18/19,Coho,6,N/A,N/A,salmonShed,HoneywellUDA
7/18/19,Chinook,6,13.2,29.71,chumHouse,HoneywellUDA
7/18/19,Chinook,7,13,29.75,chumHouse,HoneywellUDA
7/18/19,Chinook,8,13.1,29.76,chumHouse,HoneywellUDA
7/19/19,Coho,1,11.9,29.89,salmonShed,HoneywellUDA
7/19/19,Coho,2,11.9,29.9,salmonShed,HoneywellUDA
7/19/19,Coho,3,11.9,29.92,salmonShed,HoneywellUDA
7/19/19,Coho,4,11.9,29.91,salmonShed,HoneywellUDA
7/19/19,Coho,5,11.9,29.91,salmonShed,HoneywellUDA
7/19/19,Coho,6,11.9,29.91,salmonShed,HoneywellUDA
7/19/19,Chum,N/A,11.9,29.84,salmonShed,HoneywellUDA
7/19/19,Pink,N/A,12.1,29.63,salmonShed,HoneywellUDA
7/19/19,Sable,N/A,11.9,29.89,salmonShed,HoneywellUDA
7/19/19,Chinook,3,12.2,29.74,chumHouse,HoneywellUDA
7/19/19,Chinook,4,12,29.85,chumHouse,HoneywellUDA
7/19/19,Chinook,5,11.9,29.87,chumHouse,HoneywellUDA
7/19/19,Chinook,6,11.9,29.89,chumHouse,HoneywellUDA
7/19/19,Chinook,7,11.9,29.88,chumHouse,HoneywellUDA
7/19/19,Chinook,8,11.9,29.87,chumHouse,HoneywellUDA
7/22/19,Coho,1,12.4,29.96,salmonShed,HoneywellUDA
7/22/19,Coho,2,12.4,29.95,salmonShed,HoneywellUDA
7/22/19,Coho,3,12.4,29.96,salmonShed,HoneywellUDA
7/22/19,Coho,4,12.4,29.96,salmonShed,HoneywellUDA
7/22/19,Coho,5,12.4,29.97,salmonShed,HoneywellUDA
7/22/19,Coho,6,12.4,29.96,salmonShed,HoneywellUDA
7/22/19,Chum,N/A,12.5,29.93,salmonShed,HoneywellUDA
7/22/19,Pink,N/A,12.5,29.77,salmonShed,HoneywellUDA
7/22/19,Sable,N/A,12.5,29.95,salmonShed,HoneywellUDA
7/22/19,Chinook,3,12.8,29.88,chumHouse,HoneywellUDA
7/22/19,Chinook,4,12.7,29.92,chumHouse,HoneywellUDA
7/22/19,Chinook,5,12.7,29.91,chumHouse,HoneywellUDA
7/22/19,Chinook,6,12.7,29.92,chumHouse,HoneywellUDA
7/22/19,Chinook,7,12.6,29.94,chumHouse,HoneywellUDA
7/22/19,Chinook,8,12.7,29.94,chumHouse,HoneywellUDA
7/24/19,Coho,1,12.5,29.99,salmonShed,HoneywellUDA
7/24/19,Coho,2,12.5,29.98,salmonShed,HoneywellUDA
7/24/19,Coho,3,12.5,30,salmonShed,HoneywellUDA
7/24/19,Coho,4,12.4,30.02,salmonShed,HoneywellUDA
7/24/19,Coho,5,12.5,30,salmonShed,HoneywellUDA
7/24/19,Coho,6,12.5,29.99,salmonShed,HoneywellUDA
7/24/19,Chum,N/A,12.6,29.86,salmonShed,HoneywellUDA
7/24/19,Pink,N/A,12.5,29.99,salmonShed,HoneywellUDA
7/24/19,Sable,N/A,12.5,30.01,salmonShed,HoneywellUDA
7/24/19,Chinook,3,12.8,29.81,chumHouse,HoneywellUDA
7/24/19,Chinook,4,12.6,29.96,chumHouse,HoneywellUDA
7/24/19,Chinook,5,12.6,29.98,chumHouse,HoneywellUDA
7/24/19,Chinook,6,12.6,29.99,chumHouse,HoneywellUDA
7/24/19,Chinook,7,12.4,30,chumHouse,HoneywellUDA
7/24/19,Chinook,8,12.6,30,chumHouse,HoneywellUDA
8/5/19,Coho,1,12.8,29.97,salmonShed,HoneywellUDA
8/5/19,Coho,2,13,29.85,salmonShed,HoneywellUDA
8/5/19,Coho,3,12.8,30,salmonShed,HoneywellUDA
8/5/19,Coho,4,13,29.82,salmonShed,HoneywellUDA
8/5/19,Coho,5,12.9,29.99,salmonShed,HoneywellUDA
8/5/19,Coho,6,13,29.89,salmonShed,HoneywellUDA
8/5/19,Chum,N/A,12.9,29.97,salmonShed,HoneywellUDA
8/5/19,Pink,N/A,12.9,29.85,salmonShed,HoneywellUDA
8/5/19,Sable ,1,13,29.92,salmonShed,HoneywellUDA
8/5/19,Sable ,2,12.9,29.98,salmonShed,HoneywellUDA
8/5/19,Chinook,3,13.3,29.87,chumHouse,HoneywellUDA
8/5/19,Chinook,4,13.1,30,chumHouse,HoneywellUDA
8/5/19,Chinook,5,13.1,30,chumHouse,HoneywellUDA
8/5/19,Chinook,6,13,30,chumHouse,HoneywellUDA
8/5/19,Chinook,7,13.2,29.99,chumHouse,HoneywellUDA
8/5/19,Chinook,8,12.9,29.98,chumHouse,HoneywellUDA
8/7/19,Coho,1,12.7,30.09,salmonShed,HoneywellUDA
8/7/19,Coho,2,12.6,30.1,salmonShed,HoneywellUDA
8/7/19,Coho,3,12.7,30.09,salmonShed,HoneywellUDA
8/7/19,Coho,4,12.7,30.09,salmonShed,HoneywellUDA
8/7/19,Coho,5,12.7,30.07,salmonShed,HoneywellUDA
8/7/19,Coho,6,12.7,30.09,salmonShed,HoneywellUDA
8/7/19,Chum,N/A,12.7,30.09,salmonShed,HoneywellUDA
8/7/19,Pink,N/A,12.7,30.05,salmonShed,HoneywellUDA
8/7/19,Sable ,1,12.7,30.08,salmonShed,HoneywellUDA
8/7/19,Sable ,2,12.7,30.11,salmonShed,HoneywellUDA
8/7/19,Chinook,3,12.9,29.96,chumHouse,HoneywellUDA
8/7/19,Chinook,4,12.8,30.06,chumHouse,HoneywellUDA
8/7/19,Chinook,5,12.7,30.08,chumHouse,HoneywellUDA
8/7/19,Chinook,6,12.8,30.07,chumHouse,HoneywellUDA
8/7/19,Chinook,7,12.7,30.07,chumHouse,HoneywellUDA
8/7/19,Chinook,8,12.7,30.09,chumHouse,HoneywellUDA
8/9/19,Chinook,6,13.9,29.63,chumHouse,HoneywellUDA
8/9/19,Chinook,7,13.6,29.71,chumHouse,HoneywellUDA
8/9/19,Chinook,8,13.6,29.8,chumHouse,HoneywellUDA
