"Plot Title: 20454092_DO_logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
125,04/23/19 07:25:49 AM,11.50,9.34,11.50,99.4,,,
126,04/23/19 07:35:49 AM,11.50,9.34,11.50,99.4,,,
127,04/23/19 07:45:49 AM,11.51,9.36,11.51,99.5,,,
128,04/23/19 07:55:49 AM,11.51,9.38,11.51,99.6,,,
129,04/23/19 08:05:49 AM,11.51,9.40,11.51,99.6,,,
130,04/23/19 08:15:49 AM,11.51,9.42,11.51,99.6,,,
131,04/23/19 08:25:49 AM,11.51,9.42,11.51,99.6,,,
132,04/23/19 08:35:49 AM,11.51,9.44,11.51,99.7,,,
133,04/23/19 08:45:49 AM,11.50,9.44,11.50,99.6,,,
134,04/23/19 08:55:49 AM,11.50,9.44,11.50,99.6,,,
135,04/23/19 09:05:49 AM,11.49,9.44,11.49,99.5,,,
136,04/23/19 09:15:49 AM,11.50,9.44,11.50,99.6,,,
137,04/23/19 09:25:49 AM,11.51,9.44,11.51,99.7,,,
138,04/23/19 09:35:49 AM,11.50,9.44,11.50,99.6,,,
139,04/23/19 09:45:49 AM,11.51,9.44,11.51,99.7,,,
140,04/23/19 09:55:49 AM,11.51,9.44,11.51,99.7,,,
141,04/23/19 10:05:49 AM,11.49,9.44,11.49,99.5,,,
142,04/23/19 10:15:49 AM,11.51,9.44,11.51,99.7,,,
143,04/23/19 10:25:49 AM,11.51,9.44,11.51,99.7,,,
144,04/23/19 10:35:49 AM,11.49,9.44,11.49,99.5,,,
145,04/23/19 10:45:49 AM,11.52,9.46,11.52,99.8,,,
146,04/23/19 10:55:49 AM,11.51,9.46,11.51,99.7,,,
147,04/23/19 11:05:49 AM,11.50,9.46,11.50,99.7,,,
148,04/23/19 11:15:49 AM,11.51,9.48,11.51,99.8,,,
149,04/23/19 11:25:49 AM,11.52,9.50,11.52,99.9,,,
150,04/23/19 11:35:49 AM,11.50,9.52,11.50,99.8,,,
151,04/23/19 11:45:49 AM,11.50,9.54,11.50,99.8,,,
152,04/23/19 11:55:49 AM,11.51,9.54,11.51,99.9,,,
153,04/23/19 12:05:49 PM,11.51,9.54,11.51,99.9,,,
154,04/23/19 12:15:49 PM,11.50,9.56,11.50,99.9,,,
155,04/23/19 12:25:49 PM,11.52,9.56,11.52,100.1,,,
156,04/23/19 12:35:49 PM,11.50,9.56,11.50,99.9,,,
157,04/23/19 12:45:49 PM,11.50,9.56,11.50,99.9,,,
158,04/23/19 12:55:49 PM,11.50,9.56,11.50,99.9,,,
159,04/23/19 01:05:49 PM,11.50,9.58,11.50,99.9,,,
160,04/23/19 01:15:49 PM,11.50,9.58,11.50,99.9,,,
161,04/23/19 01:25:49 PM,11.51,9.58,11.51,100.0,,,
162,04/23/19 01:35:49 PM,11.50,9.58,11.50,99.9,,,
163,04/23/19 01:45:49 PM,11.50,9.56,11.50,99.9,,,
164,04/23/19 01:55:49 PM,11.50,9.56,11.50,99.9,,,
165,04/23/19 02:05:49 PM,11.51,9.56,11.51,100.0,,,
166,04/23/19 02:15:49 PM,11.50,9.54,11.50,99.8,,,
167,04/23/19 02:25:49 PM,11.52,9.56,11.52,100.1,,,
168,04/23/19 02:35:49 PM,11.51,9.56,11.51,100.0,,,
169,04/23/19 02:45:49 PM,11.50,9.56,11.50,99.9,,,
170,04/23/19 02:55:49 PM,11.51,9.56,11.51,100.0,,,
171,04/23/19 03:05:49 PM,11.50,9.56,11.50,99.9,,,
172,04/23/19 03:15:49 PM,11.51,9.56,11.51,100.0,,,
173,04/23/19 03:25:49 PM,11.50,9.56,11.50,99.9,,,
174,04/23/19 03:35:49 PM,11.49,9.54,11.49,99.8,,,
175,04/23/19 03:45:49 PM,11.51,9.54,11.51,99.9,,,
176,04/23/19 03:55:49 PM,11.50,9.54,11.50,99.8,,,
177,04/23/19 04:05:49 PM,11.51,9.52,11.51,99.9,,,
178,04/23/19 04:15:49 PM,11.51,9.52,11.51,99.9,,,
179,04/23/19 04:25:49 PM,11.50,9.52,11.50,99.8,,,
180,04/23/19 04:35:49 PM,11.51,9.52,11.51,99.9,,,
181,04/23/19 04:45:49 PM,11.50,9.50,11.50,99.8,,,
182,04/23/19 04:55:49 PM,11.51,9.50,11.51,99.8,,,
183,04/23/19 05:05:49 PM,11.51,9.50,11.51,99.8,,,
184,04/23/19 05:15:49 PM,11.52,9.48,11.52,99.9,,,
185,04/23/19 05:25:49 PM,11.50,9.48,11.50,99.7,,,
186,04/23/19 05:35:49 PM,11.50,9.48,11.50,99.7,,,
187,04/23/19 05:45:49 PM,11.50,9.48,11.50,99.7,,,
188,04/23/19 05:55:49 PM,11.50,9.46,11.50,99.7,,,
189,04/23/19 06:05:49 PM,11.50,9.46,11.50,99.7,,,
190,04/23/19 06:15:49 PM,11.50,9.46,11.50,99.7,,,
191,04/23/19 06:25:49 PM,11.50,9.46,11.50,99.7,,,
192,04/23/19 06:35:49 PM,11.50,9.46,11.50,99.7,,,
193,04/23/19 06:45:49 PM,11.51,9.46,11.51,99.7,,,
194,04/23/19 06:55:49 PM,11.50,9.44,11.50,99.6,,,
195,04/23/19 07:05:49 PM,11.50,9.44,11.50,99.6,,,
196,04/23/19 07:15:49 PM,11.50,9.44,11.50,99.6,,,
197,04/23/19 07:25:49 PM,11.51,9.42,11.51,99.6,,,
198,04/23/19 07:35:49 PM,11.50,9.42,11.50,99.6,,,
199,04/23/19 07:45:49 PM,11.51,9.42,11.51,99.6,,,
200,04/23/19 07:55:49 PM,11.51,9.40,11.51,99.6,,,
201,04/23/19 08:05:49 PM,11.51,9.40,11.51,99.6,,,
202,04/23/19 08:15:49 PM,11.51,9.40,11.51,99.6,,,
203,04/23/19 08:25:49 PM,11.51,9.40,11.51,99.6,,,
204,04/23/19 08:35:49 PM,11.51,9.42,11.51,99.6,,,
205,04/23/19 08:45:49 PM,11.50,9.42,11.50,99.6,,,
206,04/23/19 08:55:49 PM,11.51,9.42,11.51,99.6,,,
207,04/23/19 09:05:49 PM,11.51,9.42,11.51,99.6,,,
208,04/23/19 09:15:49 PM,11.50,9.42,11.50,99.6,,,
209,04/23/19 09:25:49 PM,11.51,9.40,11.51,99.6,,,
210,04/23/19 09:35:49 PM,11.51,9.42,11.51,99.6,,,
211,04/23/19 09:45:49 PM,11.50,9.42,11.50,99.6,,,
212,04/23/19 09:55:49 PM,11.52,9.42,11.52,99.7,,,
213,04/23/19 10:05:49 PM,11.51,9.42,11.51,99.6,,,
214,04/23/19 10:15:49 PM,11.51,9.42,11.51,99.6,,,
215,04/23/19 10:25:49 PM,11.52,9.42,11.52,99.7,,,
216,04/23/19 10:35:49 PM,11.52,9.42,11.52,99.7,,,
217,04/23/19 10:45:49 PM,11.52,9.42,11.52,99.7,,,
218,04/23/19 10:55:49 PM,11.52,9.42,11.52,99.7,,,
219,04/23/19 11:05:49 PM,11.51,9.40,11.51,99.6,,,
220,04/23/19 11:15:49 PM,11.51,9.40,11.51,99.6,,,
221,04/23/19 11:25:49 PM,11.51,9.40,11.51,99.6,,,
222,04/23/19 11:35:49 PM,11.53,9.38,11.53,99.7,,,
223,04/23/19 11:45:49 PM,11.52,9.36,11.52,99.6,,,
224,04/23/19 11:55:49 PM,11.53,9.36,11.53,99.7,,,
225,04/24/19 12:05:49 AM,11.52,9.36,11.52,99.6,,,
226,04/24/19 12:15:49 AM,11.53,9.36,11.53,99.7,,,
227,04/24/19 12:25:49 AM,11.53,9.34,11.53,99.6,,,
228,04/24/19 12:35:49 AM,11.53,9.34,11.53,99.6,,,
229,04/24/19 12:45:49 AM,11.54,9.34,11.54,99.7,,,
230,04/24/19 12:55:49 AM,11.54,9.34,11.54,99.7,,,
231,04/24/19 01:05:49 AM,11.53,9.34,11.53,99.6,,,
232,04/24/19 01:15:49 AM,11.53,9.34,11.53,99.6,,,
233,04/24/19 01:25:49 AM,11.54,9.34,11.54,99.7,,,
234,04/24/19 01:35:49 AM,11.54,9.34,11.54,99.7,,,
235,04/24/19 01:45:49 AM,11.53,9.34,11.53,99.6,,,
236,04/24/19 01:55:49 AM,11.53,9.32,11.53,99.6,,,
237,04/24/19 02:05:49 AM,11.54,9.32,11.54,99.7,,,
238,04/24/19 02:15:49 AM,11.54,9.32,11.54,99.7,,,
239,04/24/19 02:25:49 AM,11.55,9.32,11.55,99.8,,,
240,04/24/19 02:35:49 AM,11.54,9.32,11.54,99.7,,,
241,04/24/19 02:45:49 AM,11.54,9.32,11.54,99.7,,,
