"Plot Title: 20454092_DO_logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
156,11/20/18 11:35:49 AM,10.87,11.26,0.00,0.0,,,
157,11/20/18 11:45:49 AM,10.86,11.28,0.00,0.0,,,
158,11/20/18 11:55:49 AM,10.85,11.30,0.00,0.0,,,
159,11/20/18 12:05:49 PM,10.86,11.32,0.00,0.0,,,
160,11/20/18 12:15:49 PM,10.84,11.32,0.00,0.0,,,
161,11/20/18 12:25:49 PM,10.84,11.34,0.00,0.0,,,
162,11/20/18 12:35:49 PM,10.85,11.36,0.00,0.0,,,
163,11/20/18 12:45:49 PM,10.83,11.36,0.00,0.0,,,
164,11/20/18 12:55:49 PM,10.83,11.38,0.00,0.0,,,
165,11/20/18 01:05:49 PM,10.83,11.38,0.00,0.0,,,
166,11/20/18 01:15:49 PM,10.82,11.40,0.00,0.0,,,
167,11/20/18 01:25:49 PM,10.80,11.42,0.00,0.0,,,
168,11/20/18 01:35:49 PM,10.80,11.42,0.00,0.0,,,
169,11/20/18 01:45:49 PM,10.80,11.42,0.00,0.0,,,
170,11/20/18 01:55:49 PM,10.80,11.44,0.00,0.0,,,
171,11/20/18 02:05:49 PM,10.78,11.44,0.00,0.0,,,
172,11/20/18 02:15:49 PM,10.78,11.44,0.00,0.0,,,
173,11/20/18 02:25:49 PM,10.78,11.44,0.00,0.0,,,
174,11/20/18 02:35:49 PM,10.78,11.44,0.00,0.0,,,
175,11/20/18 02:45:49 PM,10.77,11.44,0.00,0.0,,,
176,11/20/18 02:55:49 PM,10.78,11.46,0.00,0.0,,,
177,11/20/18 03:05:49 PM,10.77,11.46,0.00,0.0,,,
178,11/20/18 03:15:49 PM,10.77,11.46,0.00,0.0,,,
179,11/20/18 03:25:49 PM,10.76,11.46,0.00,0.0,,,
180,11/20/18 03:35:49 PM,10.77,11.46,0.00,0.0,,,
181,11/20/18 03:45:49 PM,10.77,11.46,0.00,0.0,,,
182,11/20/18 03:55:49 PM,10.76,11.46,0.00,0.0,,,
183,11/20/18 04:05:49 PM,10.77,11.46,0.00,0.0,,,
184,11/20/18 04:15:49 PM,10.77,11.46,0.00,0.0,,,
185,11/20/18 04:25:49 PM,10.76,11.46,0.00,0.0,,,
186,11/20/18 04:35:49 PM,10.77,11.44,0.00,0.0,,,
187,11/20/18 04:45:49 PM,10.76,11.44,0.00,0.0,,,
188,11/20/18 04:55:49 PM,10.76,11.44,0.00,0.0,,,
189,11/20/18 05:05:49 PM,10.76,11.42,0.00,0.0,,,
190,11/20/18 05:15:49 PM,10.76,11.42,0.00,0.0,,,
191,11/20/18 05:25:49 PM,10.75,11.42,0.00,0.0,,,
192,11/20/18 05:35:49 PM,10.75,11.42,0.00,0.0,,,
193,11/20/18 05:45:49 PM,10.76,11.42,0.00,0.0,,,
194,11/20/18 05:55:49 PM,10.75,11.40,0.00,0.0,,,
195,11/20/18 06:05:49 PM,10.74,11.40,0.00,0.0,,,
196,11/20/18 06:15:49 PM,10.74,11.40,0.00,0.0,,,
197,11/20/18 06:25:49 PM,10.75,11.38,0.00,0.0,,,
198,11/20/18 06:35:49 PM,10.76,11.38,0.00,0.0,,,
199,11/20/18 06:45:49 PM,10.76,11.38,0.00,0.0,,,
200,11/20/18 06:55:49 PM,10.78,11.36,0.00,0.0,,,
201,11/20/18 07:05:49 PM,10.79,11.36,0.00,0.0,,,
202,11/20/18 07:15:49 PM,10.79,11.36,0.00,0.0,,,
203,11/20/18 07:25:49 PM,10.82,11.34,0.00,0.0,,,
204,11/20/18 07:35:49 PM,10.80,11.34,0.00,0.0,,,
205,11/20/18 07:45:49 PM,10.80,11.34,0.00,0.0,,,
206,11/20/18 07:55:49 PM,10.83,11.34,0.00,0.0,,,
207,11/20/18 08:05:49 PM,10.82,11.34,0.00,0.0,,,
208,11/20/18 08:15:49 PM,10.82,11.34,0.00,0.0,,,
209,11/20/18 08:25:49 PM,10.82,11.34,0.00,0.0,,,
210,11/20/18 08:35:49 PM,10.83,11.36,0.00,0.0,,,
211,11/20/18 08:45:49 PM,10.84,11.36,0.00,0.0,,,
212,11/20/18 08:55:49 PM,10.83,11.36,0.00,0.0,,,
213,11/20/18 09:05:49 PM,10.83,11.36,0.00,0.0,,,
214,11/20/18 09:15:49 PM,10.83,11.36,0.00,0.0,,,
215,11/20/18 09:25:49 PM,10.83,11.36,0.00,0.0,,,
216,11/20/18 09:35:49 PM,10.82,11.36,0.00,0.0,,,
217,11/20/18 09:45:49 PM,10.82,11.36,0.00,0.0,,,
218,11/20/18 09:55:49 PM,10.83,11.36,0.00,0.0,,,
219,11/20/18 10:05:49 PM,10.82,11.38,0.00,0.0,,,
220,11/20/18 10:15:49 PM,10.83,11.38,0.00,0.0,,,
221,11/20/18 10:25:49 PM,10.83,11.38,0.00,0.0,,,
222,11/20/18 10:35:49 PM,10.83,11.38,0.00,0.0,,,
223,11/20/18 10:45:49 PM,10.83,11.40,0.00,0.0,,,
224,11/20/18 10:55:49 PM,10.82,11.40,0.00,0.0,,,
225,11/20/18 11:05:49 PM,10.82,11.40,0.00,0.0,,,
226,11/20/18 11:15:49 PM,10.82,11.40,0.00,0.0,,,
227,11/20/18 11:25:49 PM,10.80,11.40,0.00,0.0,,,
228,11/20/18 11:35:49 PM,10.82,11.42,0.00,0.0,,,
229,11/20/18 11:45:49 PM,10.83,11.40,0.00,0.0,,,
230,11/20/18 11:55:49 PM,10.83,11.40,0.00,0.0,,,
231,11/21/18 12:05:49 AM,10.83,11.40,0.00,0.0,,,
232,11/21/18 12:15:49 AM,10.84,11.40,0.00,0.0,,,
233,11/21/18 12:25:49 AM,10.83,11.40,0.00,0.0,,,
234,11/21/18 12:35:49 AM,10.83,11.38,0.00,0.0,,,
235,11/21/18 12:45:49 AM,10.83,11.38,0.00,0.0,,,
236,11/21/18 12:55:49 AM,10.84,11.38,0.00,0.0,,,
237,11/21/18 01:05:49 AM,10.83,11.38,0.00,0.0,,,
238,11/21/18 01:15:49 AM,10.83,11.38,0.00,0.0,,,
239,11/21/18 01:25:49 AM,10.83,11.38,0.00,0.0,,,
240,11/21/18 01:35:49 AM,10.80,11.38,0.00,0.0,,,
241,11/21/18 01:45:49 AM,10.82,11.38,0.00,0.0,,,
242,11/21/18 01:55:49 AM,10.80,11.38,0.00,0.0,,,
243,11/21/18 02:05:49 AM,10.80,11.38,0.00,0.0,,,
244,11/21/18 02:15:49 AM,10.82,11.40,0.00,0.0,,,
245,11/21/18 02:25:49 AM,10.83,11.40,0.00,0.0,,,
246,11/21/18 02:35:49 AM,10.82,11.40,0.00,0.0,,,
247,11/21/18 02:45:49 AM,10.80,11.40,0.00,0.0,,,
248,11/21/18 02:55:49 AM,10.80,11.42,0.00,0.0,,,
249,11/21/18 03:05:49 AM,10.80,11.42,0.00,0.0,,,
250,11/21/18 03:15:49 AM,10.78,11.42,0.00,0.0,,,
251,11/21/18 03:25:49 AM,10.79,11.42,0.00,0.0,,,
252,11/21/18 03:35:49 AM,10.79,11.42,0.00,0.0,,,
253,11/21/18 03:45:49 AM,10.79,11.44,0.00,0.0,,,
254,11/21/18 03:55:49 AM,10.79,11.44,0.00,0.0,,,
255,11/21/18 04:05:49 AM,10.79,11.44,0.00,0.0,,,
256,11/21/18 04:15:49 AM,10.80,11.44,0.00,0.0,,,
257,11/21/18 04:25:49 AM,10.79,11.44,0.00,0.0,,,
258,11/21/18 04:35:49 AM,10.80,11.44,0.00,0.0,,,
259,11/21/18 04:45:49 AM,10.80,11.44,0.00,0.0,,,
260,11/21/18 04:55:49 AM,10.79,11.44,0.00,0.0,,,
261,11/21/18 05:05:49 AM,10.79,11.44,0.00,0.0,,,
262,11/21/18 05:15:49 AM,10.79,11.44,0.00,0.0,,,
263,11/21/18 05:25:49 AM,10.79,11.44,0.00,0.0,,,
264,11/21/18 05:35:49 AM,10.80,11.44,0.00,0.0,,,
265,11/21/18 05:45:49 AM,10.80,11.44,0.00,0.0,,,
266,11/21/18 05:55:49 AM,10.79,11.44,0.00,0.0,,,
267,11/21/18 06:05:49 AM,10.79,11.44,0.00,0.0,,,
268,11/21/18 06:15:49 AM,10.80,11.44,0.00,0.0,,,
269,11/21/18 06:25:49 AM,10.79,11.42,0.00,0.0,,,
270,11/21/18 06:35:49 AM,10.79,11.42,0.00,0.0,,,
271,11/21/18 06:45:49 AM,10.80,11.42,0.00,0.0,,,
272,11/21/18 06:55:49 AM,10.82,11.42,0.00,0.0,,,
273,11/21/18 07:05:49 AM,10.80,11.42,0.00,0.0,,,
274,11/21/18 07:15:49 AM,10.79,11.42,0.00,0.0,,,
275,11/21/18 07:25:49 AM,10.79,11.42,0.00,0.0,,,
276,11/21/18 07:35:49 AM,10.79,11.42,0.00,0.0,,,
277,11/21/18 07:45:49 AM,10.80,11.42,0.00,0.0,,,
278,11/21/18 07:55:49 AM,10.79,11.42,0.00,0.0,,,
279,11/21/18 08:05:49 AM,10.79,11.42,0.00,0.0,,,
280,11/21/18 08:15:49 AM,10.79,11.42,0.00,0.0,,,
281,11/21/18 08:25:49 AM,10.78,11.42,0.00,0.0,,,
282,11/21/18 08:35:49 AM,10.79,11.42,0.00,0.0,,,
283,11/21/18 08:45:49 AM,10.79,11.42,0.00,0.0,,,
284,11/21/18 08:55:49 AM,10.79,11.42,0.00,0.0,,,
285,11/21/18 09:05:49 AM,10.79,11.42,0.00,0.0,,,
286,11/21/18 09:15:49 AM,10.78,11.42,0.00,0.0,,,
287,11/21/18 09:25:49 AM,10.80,11.42,0.00,0.0,,,
288,11/21/18 09:35:49 AM,10.78,11.42,0.00,0.0,,,
289,11/21/18 09:45:49 AM,10.78,11.42,0.00,0.0,,,
290,11/21/18 09:55:49 AM,10.79,11.42,0.00,0.0,,,
291,11/21/18 10:05:49 AM,10.79,11.42,0.00,0.0,,,
292,11/21/18 10:15:49 AM,10.79,11.42,0.00,0.0,,,
293,11/21/18 10:25:49 AM,10.79,11.42,0.00,0.0,,,
294,11/21/18 10:35:49 AM,10.80,11.42,0.00,0.0,,,
295,11/21/18 10:45:49 AM,10.79,11.42,0.00,0.0,,,
296,11/21/18 10:55:49 AM,10.80,11.42,0.00,0.0,,,
297,11/21/18 11:05:49 AM,10.80,11.40,0.00,0.0,,,
298,11/21/18 11:15:49 AM,10.82,11.40,0.00,0.0,,,
299,11/21/18 11:25:49 AM,10.82,11.40,0.00,0.0,,,
300,11/21/18 11:35:49 AM,10.83,11.40,0.00,0.0,,,
301,11/21/18 11:45:49 AM,10.82,11.40,0.00,0.0,,,
302,11/21/18 11:55:49 AM,10.82,11.40,0.00,0.0,,,
303,11/21/18 12:05:49 PM,10.83,11.38,0.00,0.0,,,
304,11/21/18 12:15:49 PM,10.83,11.38,0.00,0.0,,,
305,11/21/18 12:25:49 PM,10.82,11.38,0.00,0.0,,,
306,11/21/18 12:35:49 PM,10.83,11.38,0.00,0.0,,,
307,11/21/18 12:45:49 PM,10.80,11.38,0.00,0.0,,,
308,11/21/18 12:55:49 PM,10.80,11.40,0.00,0.0,,,
309,11/21/18 01:05:49 PM,10.82,11.40,0.00,0.0,,,
310,11/21/18 01:15:49 PM,10.82,11.40,0.00,0.0,,,
311,11/21/18 01:25:49 PM,10.84,11.40,0.00,0.0,,,
312,11/21/18 01:35:49 PM,10.83,11.40,0.00,0.0,,,
313,11/21/18 01:45:49 PM,10.82,11.40,0.00,0.0,,,
314,11/21/18 01:55:49 PM,10.83,11.40,0.00,0.0,,,
315,11/21/18 02:05:49 PM,10.82,11.40,0.00,0.0,,,
316,11/21/18 02:15:49 PM,10.82,11.40,0.00,0.0,,,
317,11/21/18 02:25:49 PM,10.80,11.40,0.00,0.0,,,
318,11/21/18 02:35:49 PM,10.79,11.42,0.00,0.0,,,
319,11/21/18 02:45:49 PM,10.79,11.42,0.00,0.0,,,
320,11/21/18 02:55:49 PM,10.79,11.42,0.00,0.0,,,
321,11/21/18 03:05:49 PM,10.79,11.42,0.00,0.0,,,
322,11/21/18 03:15:49 PM,10.79,11.42,0.00,0.0,,,
323,11/21/18 03:25:49 PM,10.80,11.42,0.00,0.0,,,
324,11/21/18 03:35:49 PM,10.79,11.42,0.00,0.0,,,
325,11/21/18 03:45:49 PM,10.78,11.42,0.00,0.0,,,
326,11/21/18 03:55:49 PM,10.80,11.42,0.00,0.0,,,
327,11/21/18 04:05:49 PM,10.78,11.42,0.00,0.0,,,
328,11/21/18 04:15:49 PM,10.78,11.42,0.00,0.0,,,
329,11/21/18 04:25:49 PM,10.77,11.42,0.00,0.0,,,
330,11/21/18 04:35:49 PM,10.79,11.42,0.00,0.0,,,
331,11/21/18 04:45:49 PM,10.79,11.42,0.00,0.0,,,
332,11/21/18 04:55:49 PM,10.78,11.42,0.00,0.0,,,
333,11/21/18 05:05:49 PM,10.77,11.42,0.00,0.0,,,
334,11/21/18 05:15:49 PM,10.78,11.42,0.00,0.0,,,
335,11/21/18 05:25:49 PM,10.78,11.42,0.00,0.0,,,
336,11/21/18 05:35:49 PM,10.77,11.42,0.00,0.0,,,
337,11/21/18 05:45:49 PM,10.77,11.42,0.00,0.0,,,
338,11/21/18 05:55:49 PM,10.78,11.42,0.00,0.0,,,
339,11/21/18 06:05:49 PM,10.78,11.42,0.00,0.0,,,
340,11/21/18 06:15:49 PM,10.78,11.40,0.00,0.0,,,
341,11/21/18 06:25:49 PM,10.78,11.40,0.00,0.0,,,
342,11/21/18 06:35:49 PM,10.78,11.40,0.00,0.0,,,
343,11/21/18 06:45:49 PM,10.77,11.40,0.00,0.0,,,
344,11/21/18 06:55:49 PM,10.77,11.40,0.00,0.0,,,
345,11/21/18 07:05:49 PM,10.77,11.40,0.00,0.0,,,
346,11/21/18 07:15:49 PM,10.77,11.40,0.00,0.0,,,
347,11/21/18 07:25:49 PM,10.78,11.40,0.00,0.0,,,
348,11/21/18 07:35:49 PM,10.77,11.40,0.00,0.0,,,
349,11/21/18 07:45:49 PM,10.78,11.40,0.00,0.0,,,
350,11/21/18 07:55:49 PM,10.77,11.40,0.00,0.0,,,
351,11/21/18 08:05:49 PM,10.77,11.40,0.00,0.0,,,
352,11/21/18 08:15:49 PM,10.78,11.40,0.00,0.0,,,
353,11/21/18 08:25:49 PM,10.77,11.40,0.00,0.0,,,
354,11/21/18 08:35:49 PM,10.78,11.40,0.00,0.0,,,
355,11/21/18 08:45:49 PM,10.78,11.40,0.00,0.0,,,
356,11/21/18 08:55:49 PM,10.78,11.40,0.00,0.0,,,
357,11/21/18 09:05:49 PM,10.78,11.40,0.00,0.0,,,
358,11/21/18 09:15:49 PM,10.78,11.40,0.00,0.0,,,
359,11/21/18 09:25:49 PM,10.77,11.40,0.00,0.0,,,
360,11/21/18 09:35:49 PM,10.77,11.40,0.00,0.0,,,
361,11/21/18 09:45:49 PM,10.78,11.40,0.00,0.0,,,
362,11/21/18 09:55:49 PM,10.78,11.40,0.00,0.0,,,
363,11/21/18 10:05:49 PM,10.79,11.40,0.00,0.0,,,
364,11/21/18 10:15:49 PM,10.77,11.40,0.00,0.0,,,
365,11/21/18 10:25:49 PM,10.76,11.38,0.00,0.0,,,
366,11/21/18 10:35:49 PM,10.77,11.38,0.00,0.0,,,
367,11/21/18 10:45:49 PM,10.78,11.38,0.00,0.0,,,
368,11/21/18 10:55:49 PM,10.79,11.38,0.00,0.0,,,
369,11/21/18 11:05:49 PM,10.78,11.38,0.00,0.0,,,
370,11/21/18 11:15:49 PM,10.78,11.38,0.00,0.0,,,
371,11/21/18 11:25:49 PM,10.78,11.38,0.00,0.0,,,
